Channel1,channel2,channel3,channel4,channel5,channel6,Label
50,88,73,97,72,66,stop
49,92,77,94,70,65,stop
47,89,76,90,69,67,stop
48,86,71,90,70,68,stop
48,87,70,89,72,69,stop
48,85,69,86,73,68,stop
48,86,69,85,72,68,stop
48,84,71,84,71,69,stop
49,88,69,84,72,70,stop
49,87,70,81,72,69,stop
50,84,67,79,72,70,stop
51,82,66,79,74,69,stop
51,79,67,78,74,71,stop
51,76,65,74,75,72,stop
53,75,65,74,75,74,stop
53,73,66,74,76,72,stop
54,73,67,72,76,72,stop
55,76,66,69,74,74,stop
55,74,67,67,74,74,stop
56,75,67,68,74,77,stop
57,76,65,66,73,75,stop
57,77,63,64,70,76,stop
58,76,64,61,69,76,stop
59,75,67,60,68,78,stop
61,75,65,59,66,78,stop
62,75,63,57,66,78,stop
64,81,61,56,64,79,stop
64,84,65,55,63,80,stop
65,86,66,54,62,79,stop
66,86,65,53,61,80,stop
67,81,64,54,59,80,stop
68,83,62,54,60,81,stop
69,84,60,54,59,81,stop
69,87,58,53,58,80,stop
70,83,63,52,58,82,stop
71,81,64,51,57,80,stop
71,78,62,50,58,82,stop
72,78,60,50,59,83,stop
72,79,59,51,59,85,stop
74,78,60,50,60,84,stop
74,77,59,52,58,82,stop
75,74,60,53,57,82,stop
76,73,58,52,55,84,stop
76,75,57,54,55,86,stop
77,79,58,54,53,86,stop
77,80,56,55,53,84,stop
79,80,57,56,52,85,stop
81,77,55,56,53,87,stop
81,76,54,58,53,87,stop
82,81,55,59,53,88,stop
83,81,57,59,52,87,stop
85,79,58,62,52,87,stop
86,80,58,62,50,87,stop
87,78,60,63,50,86,stop
88,85,61,65,52,88,stop
88,87,61,64,53,88,stop
89,84,59,65,55,87,stop
89,84,59,66,54,85,stop
91,84,59,68,51,85,stop
91,82,60,70,51,86,stop
93,79,60,70,51,90,stop
93,78,58,70,50,89,stop
94,78,58,73,51,93,stop
95,77,58,75,52,93,stop
95,81,59,73,54,94,stop
96,82,59,74,53,95,stop
97,84,59,76,52,96,stop
97,81,60,78,53,100,stop
98,79,60,79,51,100,stop
98,80,60,79,50,104,stop
100,80,62,78,51,107,start
100,78,61,80,52,108,start
100,80,61,82,51,108,start
101,81,60,79,52,107,start
101,81,61,81,53,107,start
102,81,63,82,55,103,start
102,81,63,85,54,102,start
102,84,63,84,53,100,start
103,84,62,83,54,98,start
103,87,63,84,53,95,start
103,88,63,85,55,93,start
104,87,61,84,52,89,start
104,85,62,87,54,87,start
104,84,61,88,54,83,start
105,84,62,88,54,80,start
106,82,62,88,54,77,start
109,81,64,90,54,74,start
109,83,63,90,54,70,start
110,84,64,90,54,68,start
111,80,64,91,54,66,start
112,84,63,92,55,63,start
113,84,63,91,54,62,start
114,82,63,89,53,63,start
115,85,63,92,52,64,start
116,85,63,91,52,67,start
116,86,63,91,52,70,start
117,85,64,92,51,75,start
117,82,66,91,52,79,start
117,82,69,92,52,84,start
116,81,70,91,52,90,start
114,82,70,90,54,96,start
113,82,68,91,55,102,start
111,81,67,91,58,107,start
109,81,68,90,59,111,start
108,83,66,91,60,114,start
106,89,68,90,63,118,start
105,86,65,91,63,121,start
104,83,68,90,65,124,start
103,80,69,89,65,127,start
103,78,69,90,66,130,start
103,74,68,90,65,132,start
103,77,68,91,66,134,start
103,77,67,90,67,135,start
104,75,67,90,67,136,start
106,72,67,90,67,137,start
108,79,67,92,66,135,start
109,77,65,93,68,132,start
111,74,67,94,68,128,start
113,72,69,93,67,125,start
115,71,69,96,67,119,start
115,74,68,96,70,114,start
117,72,66,96,66,109,start
119,68,68,95,67,104,start
119,68,68,94,67,101,start
121,67,70,94,66,98,start
121,64,69,93,66,96,start
121,63,70,92,64,95,start
121,66,69,91,65,93,start
123,67,68,89,63,91,start
123,69,68,86,65,90,start
123,73,68,86,62,89,start
124,76,71,84,62,86,start
123,78,71,82,63,83,start
124,80,69,80,62,81,start
123,83,69,78,61,79,start
122,87,68,77,60,75,start
122,87,67,75,61,72,start
121,89,67,73,61,69,start
120,89,68,71,63,66,start
120,91,66,69,62,64,start
119,90,64,67,63,62,start
119,93,65,67,63,60,start
118,92,66,64,64,58,start
119,96,67,64,63,57,start
119,96,64,61,63,55,start
119,98,66,60,63,55,start
119,104,66,59,61,54,start
120,109,65,59,60,52,start
120,113,64,57,57,51,start
119,108,67,57,57,49,start
118,113,67,56,56,49,start
120,117,67,55,55,47,start
120,119,65,53,55,47,start
119,116,64,52,56,47,start
119,117,64,51,54,46,start
118,111,64,51,54,45,start
116,113,65,51,53,46,start
116,112,63,50,54,47,start
115,124,61,51,54,46,start
113,126,60,51,54,46,start
113,124,60,51,54,47,start
112,122,58,52,52,46,start
111,123,59,53,55,47,start
109,126,58,53,54,46,start
107,123,56,53,57,46,start
107,126,55,52,58,46,start
106,125,56,53,61,45,start
105,118,56,52,63,45,start
104,112,55,52,66,45,start
104,114,55,53,69,45,start
103,109,54,53,70,45,start
102,106,56,54,73,45,start
101,104,57,55,73,45,start
101,100,59,56,74,45,start
99,99,61,57,72,46,stop
99,103,62,56,72,46,stop
98,101,64,57,71,47,stop
97,105,69,58,70,48,stop
95,100,71,59,70,49,stop
94,98,72,60,69,49,stop
92,94,73,61,69,51,stop
90,93,78,60,68,51,stop
88,93,81,60,67,52,stop
87,93,84,61,66,53,stop
85,98,86,60,65,54,stop
83,96,90,60,64,54,stop
81,94,94,59,63,55,stop
79,90,94,58,62,56,stop
78,92,98,58,61,57,stop
78,92,101,57,60,60,stop
76,90,106,59,59,61,stop
76,85,108,57,58,61,stop
76,83,111,57,58,63,stop
77,89,114,55,58,63,stop
77,90,115,54,56,64,stop
78,91,117,54,57,65,stop
79,88,121,54,56,64,stop
78,91,121,54,56,65,stop
79,89,124,52,57,67,stop
81,88,126,52,56,67,stop
83,90,130,51,58,66,stop
83,85,131,51,56,67,stop
84,82,131,51,56,67,stop
85,81,132,51,56,66,stop
83,85,133,51,55,66,stop
83,90,134,53,54,68,stop
83,94,134,51,54,69,stop
82,92,134,52,54,69,stop
80,97,135,52,52,71,stop
80,95,136,53,52,72,stop
80,91,135,52,52,74,stop
78,87,133,53,51,76,stop
79,88,133,54,53,77,stop
79,95,133,53,53,80,stop
77,90,130,55,53,82,stop
78,87,130,55,52,84,stop
76,86,132,56,53,85,stop
78,83,130,58,53,87,stop
85,93,129,57,53,89,stop
88,91,127,58,53,90,stop
90,96,127,58,53,91,stop
88,95,125,60,52,92,stop
92,96,124,60,53,93,stop
97,91,122,61,51,94,stop
99,90,124,60,51,96,stop
97,90,121,61,52,96,stop
95,90,119,61,56,95,stop
91,89,118,62,61,95,stop
88,86,118,63,67,96,stop
86,83,118,65,69,96,stop
83,89,116,64,72,97,stop
85,90,116,64,72,97,stop
83,89,115,65,73,99,stop
81,86,114,65,71,99,stop
81,82,113,65,71,99,stop
80,82,112,65,71,100,stop
79,82,110,65,69,99,stop
77,88,108,65,67,98,stop
76,96,108,66,66,99,stop
74,100,108,66,66,98,stop
74,99,107,68,62,98,stop
85,94,105,66,61,97,stop
99,91,103,68,60,97,stop
100,89,107,66,58,96,stop
102,91,103,67,56,95,stop
107,95,99,66,55,94,stop
101,98,97,67,54,95,stop
102,93,95,66,53,92,stop
101,89,95,66,53,92,stop
101,84,92,66,52,91,stop
97,82,90,65,53,90,stop
97,82,88,64,53,89,stop
94,83,89,65,54,87,stop
93,85,86,65,54,87,stop
100,88,84,64,55,86,stop
100,90,83,64,55,84,stop
96,89,81,63,55,83,stop
97,86,79,63,56,82,stop
92,82,76,61,57,81,stop
91,82,75,60,59,79,stop
89,84,74,59,60,79,stop
87,91,70,57,60,77,stop
87,90,69,57,61,76,stop
84,89,67,56,62,75,stop
84,87,68,54,63,74,stop
81,83,65,54,64,72,stop
84,84,62,54,66,71,stop
87,93,71,71,76,57,left
84,92,72,72,73,54,left
80,91,71,73,69,53,left
81,90,70,73,66,54,left
79,88,69,73,65,55,left
76,86,68,73,62,58,left
75,85,68,74,60,62,left
73,84,68,76,58,61,left
71,83,68,77,56,61,left
69,82,67,78,55,59,left
67,81,68,78,54,59,left
65,79,66,79,52,56,left
63,77,66,81,50,53,left
62,76,67,80,50,52,left
60,75,65,81,48,51,left
60,73,64,80,48,51,left
58,71,65,80,48,50,left
56,69,64,78,47,49,left
55,68,63,78,47,48,left
54,65,63,78,46,48,left
53,64,63,78,46,46,left
51,64,62,77,46,46,left
49,63,63,78,45,47,left
50,61,62,78,46,46,left
48,58,61,77,45,46,left
47,57,60,78,44,45,left
46,55,60,77,45,45,left
46,54,60,78,45,46,left
46,52,60,78,45,45,left
46,51,60,77,46,45,left
47,51,60,76,46,44,left
47,51,60,78,46,44,left
47,49,59,77,47,44,left
48,48,57,78,48,44,left
48,48,57,78,47,44,left
48,48,56,78,49,44,left
50,49,56,79,49,44,left
51,49,55,79,50,44,left
51,48,54,79,50,43,left
52,50,52,80,51,44,left
53,50,52,80,52,44,left
54,49,52,80,53,45,left
56,50,51,79,53,44,left
57,51,50,80,54,45,left
59,51,48,80,55,46,left
61,52,49,80,55,46,left
62,52,48,80,56,46,left
63,54,48,81,56,45,left
65,53,47,80,57,47,left
65,54,46,80,56,48,left
66,55,46,80,57,47,left
67,56,47,80,57,47,left
68,58,47,80,58,48,left
70,58,47,79,57,48,left
70,58,46,80,57,49,left
70,60,47,79,59,50,left
71,61,48,81,59,50,left
72,61,47,79,58,52,left
73,62,48,78,59,53,left
73,64,48,78,58,54,left
73,65,50,78,59,55,left
74,65,50,77,59,55,left
75,66,50,77,58,56,left
76,68,52,77,59,58,left
77,69,53,77,60,60,left
76,69,54,75,61,60,left
77,70,55,75,61,60,left
77,72,56,74,61,61,left
78,73,56,75,61,62,left
78,74,58,74,61,64,left
