channel1,channel2,channel3,channel4,channel5,channel6,label
57,80,53,59,60,64,stop
54,78,53,56,60,64,stop
54,77,54,58,60,67,stop
51,79,53,57,63,63,stop
51,79,53,57,62,65,stop
48,79,53,55,63,63,stop
48,80,53,56,64,64,stop
48,79,54,56,63,62,stop
47,77,54,56,61,64,stop
47,75,54,56,62,63,stop
47,79,54,57,64,63,stop
46,78,56,56,63,61,stop
46,79,57,56,61,63,stop
46,77,56,58,60,62,stop
46,79,56,56,59,64,stop
46,80,55,56,58,62,stop
46,84,54,56,60,64,stop
48,80,55,56,59,63,stop
48,80,56,54,57,65,stop
48,78,55,55,58,64,stop
47,77,56,55,58,62,stop
47,75,62,55,58,60,stop
47,76,63,55,57,61,stop
49,76,62,55,59,61,stop
51,77,60,57,60,60,stop
51,75,59,57,59,63,stop
52,73,59,58,60,64,stop
56,73,61,57,61,63,stop
59,73,61,57,61,63,stop
60,78,60,56,62,61,stop
63,79,60,54,64,61,stop
63,79,58,54,63,66,stop
65,77,59,52,64,63,stop
66,76,63,53,64,63,stop
69,76,64,54,65,62,stop
71,78,63,53,64,61,stop
73,81,61,54,64,60,stop
75,82,62,55,63,60,stop
77,80,61,53,65,59,stop
78,80,64,54,64,58,stop
79,77,66,55,64,57,stop
80,76,67,54,63,60,stop
81,79,64,54,65,60,stop
83,79,63,53,65,61,stop
83,77,61,53,63,61,stop
85,75,62,53,65,63,stop
86,77,60,55,66,62,stop
88,80,60,54,67,67,stop
91,79,58,53,67,66,stop
95,78,57,54,68,64,stop
97,77,57,54,66,63,stop
98,73,58,55,66,69,stop
104,72,61,56,65,69,start
112,72,61,57,65,68,start
115,78,62,56,65,67,start
118,78,61,57,68,65,start
118,78,60,56,68,67,start
120,79,58,59,66,64,start
121,79,58,58,65,62,start
123,79,57,57,63,61,start
125,77,59,56,62,64,start
129,77,60,57,64,65,start
130,77,60,57,65,61,start
132,76,58,55,64,62,start
132,76,59,60,63,62,start
135,73,59,58,62,63,start
137,73,60,57,61,62,start
138,74,60,56,63,62,start
140,73,59,57,62,61,start
141,80,60,56,63,62,start
141,82,60,59,61,60,start
141,82,61,57,61,63,start
140,83,62,58,61,66,start
138,81,63,58,62,64,start
137,79,62,57,62,65,start
136,79,61,57,61,66,start
133,77,60,58,60,63,start
134,74,59,58,58,62,start
132,71,59,57,59,61,start
129,71,58,57,57,61,start
125,70,58,58,57,62,start
125,74,58,60,57,65,start
123,74,58,61,57,67,start
120,74,58,59,58,65,start
118,73,57,59,57,63,start
116,72,57,59,57,61,start
112,72,55,58,57,59,start
109,73,55,59,59,59,start
